"csv_industry_code","ewb_industry_code","industry_title"
"SIC_0A0272","0A0272","SIC 0272 Horses and other equines"
"SIC_0A0273","0A0273","SIC 0273 Animal aquaculture"
"SIC_0A0279","0A0279","SIC 0279 Animal specialties, nec"
"SIC_0A029","0A029","SIC 029 General Farms, Primarily Animal"
"SIC_0A0291","0A0291","SIC 0291 General farms, primarily animal"
"SIC_0A07","0A07","SIC 07 Agricultural Services"
"SIC_0A071","0A071","SIC 071 Soil Preparation Services"
"SIC_0A0711","0A0711","SIC 0711 Soil preparation services"
"SIC_0A072","0A072","SIC 072 Crop Services"
"SIC_0A0721","0A0721","SIC 0721 Crop planting and protecting"
"SIC_0A0722","0A0722","SIC 0722 Crop harvesting"
"SIC_0A0723","0A0723","SIC 0723 Crop preparation services for market"
"SIC_0A0724","0A0724","SIC 0724 Cotton ginning"
"SIC_0A0729","0A0729","1972 SIC 0729 General Crop Services"
"SIC_0A074","0A074","SIC 074 Veterinary Services"
"SIC_0A0740","0A0740","SIC 0740 Veterinary Services"
"SIC_0A0741","0A0741","SIC 0741 Veterinary services for livestock"
"SIC_0A0742","0A0742","SIC 0742 Veterinary services, specialties"
"SIC_0A075","0A075","SIC 075 Animal Services, Except Veterinary"
"SIC_0A0751","0A0751","SIC 0751 Livestock services, exc. veterinary"
"SIC_0A0752","0A0752","SIC 0752 Animal specialty services"
"SIC_0A076","0A076","SIC 076 Farm Labor and Management Services"
"SIC_0A0761","0A0761","SIC 0761 Farm labor contractors"
"SIC_0A0762","0A0762","SIC 0762 Farm management services"
"SIC_0A078","0A078","SIC 078 Landscape and Horticultural Services"
"SIC_0A0780","0A0780","SIC 0780 Landscape and Horticultural Services"
"SIC_0A0781","0A0781","SIC 0781 Landscape counseling and planning"
"SIC_0A0782","0A0782","SIC 0782 Lawn and garden services"
"SIC_0A0783","0A0783","SIC 0783 Ornamental shrub and tree services"
"SIC_0A08","0A08","SIC 08 Forestry"
"SIC_0A081","0A081","SIC 081 Timber Tracts"
"SIC_0A0811","0A0811","SIC 0811 Timber tracts"
"SIC_0A082","0A082","1972 SIC 082 Forest Nurseries and Seed Gathering"
"SIC_0A0821","0A0821","1972 SIC 0821 Forest Nurseries and Seed Gathering"
"SIC_0A083","0A083","SIC 083 Forest Products"
"SIC_0A0831","0A0831","SIC 0831 Forest products"
"SIC_0A084","0A084","1972 SIC 084 Gathering of Misc. Forest Products"
"SIC_0A0843","0A0843","1972 SIC 0843 Extraction of Pine Gum"
"SIC_0A0849","0A0849","1972 SIC 0849 Gathering of Forest Products, Nec"
"SIC_0A085","0A085","SIC 085 Forestry Services"
"SIC_0A0851","0A0851","SIC 0851 Forestry services"
"SIC_0A09","0A09","SIC 09 Fishing, Hunting, and Trapping"
"SIC_0A091","0A091","SIC 091 Commercial Fishing"
"SIC_0A0912","0A0912","SIC 0912 Finfish"
"SIC_0A0913","0A0913","SIC 0913 Shellfish"
"SIC_0A0919","0A0919","SIC 0919 Miscellaneous marine products"
"SIC_0A092","0A092","SIC 092 Fish Hatcheries and Preserves"
"SIC_0A0921","0A0921","SIC 0921 Fish hatcheries and preserves"
"SIC_0A097","0A097","SIC 097 Hunting, Trapping, Game Propagation"
"SIC_0A0971","0A0971","SIC 0971 Hunting, trapping, game propagation"
"SIC_0B10","0B10","SIC 10 Metal Mining"
"SIC_0B101","0B101","SIC 101 Iron Ores"
"SIC_0B1011","0B1011","SIC 1011 Iron ores"
"SIC_0B102","0B102","SIC 102 Copper Ores"
"SIC_0B1021","0B1021","SIC 1021 Copper ores"
"SIC_0B103","0B103","SIC 103 Lead and Zinc Ores"
"SIC_0B1031","0B1031","SIC 1031 Lead and zinc ores"
"SIC_0B104","0B104","SIC 104 Gold and Silver Ores"
"SIC_0B1041","0B1041","SIC 1041 Gold ores"
"SIC_0B1044","0B1044","SIC 1044 Silver ores"
"SIC_0B105","0B105","1972 SIC 105 Bauxite and Other Aluminum Ores"
"SIC_0B1051","0B1051","1972 SIC 1051 Bauxite and Other Aluminum Ores"
"SIC_0B106","0B106","SIC 106 Ferroalloy Ores, Except Vanadium"
"SIC_0B1061","0B1061","SIC 1061 Ferroalloy ores, except vanadium"
"SIC_0B108","0B108","SIC 108 Metal Mining Services"
"SIC_0B1081","0B1081","SIC 1081 Metal mining services"
"SIC_0B109","0B109","SIC 109 Miscellaneous Metal Ores"
"SIC_0B1092","0B1092","1972 SIC 1092 Mercury Ores"
"SIC_0B1094","0B1094","SIC 1094 Uranium-radium-vanadium ores"
"SIC_0B1099","0B1099","SIC 1099 Metal ores, nec"
"SIC_0B11","0B11","1972 SIC 11 Anthracite Mining"
"SIC_0B111","0B111","1972 SIC 111 Anthracite Mining"
"SIC_0B1111","0B1111","1972 SIC 1111 Anthracite"
"SIC_0B1112","0B1112","1972 SIC 1112 Anthracite Mining Services"
"SIC_0B12","0B12","SIC 12 Coal Mining"
"SIC_0B121","0B121","1972 SIC 121 Bituminous Coal and Lignite Mining"
"SIC_0B1211","0B1211","1972 SIC 1211 Bituminous Coal and Lignite"
"SIC_0B1213","0B1213","1972 SIC 1213 Bituminous & Lignite Mining Services"
"SIC_0B122","0B122","SIC 122 Bituminous Coal and Lignite Mining"
"SIC_0B1221","0B1221","SIC 1221 Bituminous coal and lignite surface"
"SIC_0B1222","0B1222","SIC 1222 Bituminous coal underground"
"SIC_0B123","0B123","SIC 123 Anthracite Mining"
"SIC_0B1231","0B1231","SIC 1231 Anthracite mining"
"SIC_0B124","0B124","SIC 124 Coal Mining Services"
"SIC_0B1241","0B1241","SIC 1241 Coal mining services"
"SIC_0B13","0B13","SIC 13 Oil and Gas Extraction"
"SIC_0B131","0B131","SIC 131 Crude Petroleum and Natural Gas"
"SIC_0B1311","0B1311","SIC 1311 Crude petroleum and natural gas"
"SIC_0B132","0B132","SIC 132 Natural Gas Liquids"
"SIC_0B1321","0B1321","SIC 1321 Natural gas liquids"
"SIC_0B138","0B138","SIC 138 Oil and Gas Field Services"
"SIC_0B1381","0B1381","SIC 1381 Drilling oil and gas wells"
"SIC_0B1382","0B1382","SIC 1382 Oil and gas exploration services"
"SIC_0B1389","0B1389","SIC 1389 Oil and gas field services, nec"
"SIC_0B14","0B14","SIC 14 Nonmetallic Minerals, Except Fuels"
"SIC_0B141","0B141","SIC 141 Dimension Stone"
"SIC_0B1411","0B1411","SIC 1411 Dimension stone"
"SIC_0B142","0B142","SIC 142 Crushed and Broken Stone"
"SIC_0B1422","0B1422","SIC 1422 Crushed and broken limestone"
"SIC_0B1423","0B1423","SIC 1423 Crushed and broken granite"
"SIC_0B1429","0B1429","SIC 1429 Crushed and broken stone, nec"
"SIC_0B144","0B144","SIC 144 Sand and Gravel"
"SIC_0B1442","0B1442","SIC 1442 Construction sand and gravel"
"SIC_0B1446","0B1446","SIC 1446 Industrial sand"
"SIC_0B145","0B145","SIC 145 Clay, Ceramic, & Refractory Minerals"
"SIC_0B1452","0B1452","1972 SIC 1452 Bentonite"
"SIC_0B1453","0B1453","1972 SIC 1453 Fire Clay"
"SIC_0B1454","0B1454","1972 SIC 1454 Fullers Earth"
"SIC_0B1455","0B1455","SIC 1455 Kaolin and ball clay"
"SIC_0B1459","0B1459","SIC 1459 Clay and related minerals, nec"
"SIC_0B147","0B147","SIC 147 Chemical and Fertilizer Minerals"
"SIC_0B1472","0B1472","1972 SIC 1472 Barite"
"SIC_0B1473","0B1473","1972 SIC 1473 Fluorspar"
"SIC_0B1474","0B1474","SIC 1474 Potash, soda, and borate minerals"
"SIC_0B1475","0B1475","SIC 1475 Phosphate rock"
"SIC_0B1476","0B1476","1972 SIC 1476 Rock Salt"
"SIC_0B1477","0B1477","1972 SIC 1477 Sulfur"
"SIC_0B1479","0B1479","SIC 1479 Chemical and fertilizer mining, nec"
"SIC_0B148","0B148","SIC 148 Nonmetallic Minerals Services"
"SIC_0B1481","0B1481","SIC 1481 Nonmetallic minerals services"
"SIC_0B149","0B149","SIC 149 Miscellaneous Nonmetallic Minerals"
"SIC_0B1492","0B1492","1972 SIC 1492 Gypsum"
"SIC_0B1496","0B1496","1972 SIC 1496 Talc, Soapstone, and Pyrophyllite"
"SIC_0B1499","0B1499","SIC 1499 Miscellaneous nonmetallic minerals"
"SIC_0C15","0C15","SIC 15 General Building Contractors"
"SIC_0C152","0C152","SIC 152 Residential Building Construction"
"SIC_0C1520","0C1520","SIC 1520 Residential Building Construction"
"SIC_0C1521","0C1521","SIC 1521 Single-family housing construction"
"SIC_0C1522","0C1522","SIC 1522 Residential construction, nec"
"SIC_0C153","0C153","SIC 153 Operative Builders"
"SIC_0C1531","0C1531","SIC 1531 Operative builders"
"SIC_0C154","0C154","SIC 154 Nonresidential Building Construction"
"SIC_0C1540","0C1540","SIC 1540 Nonresidential Building Construction"
"SIC_0C1541","0C1541","SIC 1541 Industrial buildings and warehouses"
"SIC_0C1542","0C1542","SIC 1542 Nonresidential construction, nec"
"SIC_0C16","0C16","SIC 16 Heavy Construction, ex. Building"
"SIC_0C161","0C161","SIC 161 Highway and Street Construction"
"SIC_0C1611","0C1611","SIC 1611 Highway and street construction"
"SIC_0C162","0C162","SIC 162 Heavy Construction, Except Highway"
"SIC_0C1622","0C1622","SIC 1622 Bridge, tunnel, & elevated highway"
"SIC_0C1623","0C1623","SIC 1623 Water, sewer, and utility lines"
"SIC_0C1629","0C1629","SIC 1629 Heavy construction, nec"
"SIC_0C17","0C17","SIC 17 Special Trade Contractors"
"SIC_0C171","0C171","SIC 171 Plumbing, Heating, Air-Conditioning"
"SIC_0C1711","0C1711","SIC 1711 Plumbing, heating, air-conditioning"
"SIC_0C172","0C172","SIC 172 Painting and Paper Hanging"
"SIC_0C1721","0C1721","SIC 1721 Painting and paper hanging"
"SIC_0C173","0C173","SIC 173 Electrical Work"
"SIC_0C1731","0C1731","SIC 1731 Electrical work"
"SIC_0C174","0C174","SIC 174 Masonry, Stonework, and Plastering"
"SIC_0C1741","0C1741","SIC 1741 Masonry and other stonework"
"SIC_0C1742","0C1742","SIC 1742 Plastering, drywall, and insulation"
"SIC_0C1743","0C1743","SIC 1743 Terrazzo, tile, marble, mosaic work"
"SIC_0C175","0C175","SIC 175 Carpentry and Floor Work"
"SIC_0C1751","0C1751","SIC 1751 Carpentry work"
"SIC_0C1752","0C1752","SIC 1752 Floor laying and floor work, nec"
"SIC_0C176","0C176","SIC 176 Roofing, Siding, and Sheet Metal Work"
"SIC_0C1761","0C1761","SIC 1761 Roofing, siding, and sheet metal work"
"SIC_0C177","0C177","SIC 177 Concrete Work"
"SIC_0C1771","0C1771","SIC 1771 Concrete work"
"SIC_0C178","0C178","SIC 178 Water Well Drilling"
"SIC_0C1781","0C1781","SIC 1781 Water well drilling"
"SIC_0C179","0C179","SIC 179 Misc. Special Trade Contractors"
"SIC_0C1791","0C1791","SIC 1791 Structural steel erection"
"SIC_0C1793","0C1793","SIC 1793 Glass and glazing work"
"SIC_0C1794","0C1794","SIC 1794 Excavation work"
"SIC_0C1795","0C1795","SIC 1795 Wrecking and demolition work"
"SIC_0C1796","0C1796","SIC 1796 Installing building equipment, nec"
"SIC_0C1799","0C1799","SIC 1799 Special trade contractors, nec"
"SIC_0D20","0D20","SIC 20 Food and Kindred Products"
"SIC_0D201","0D201","SIC 201 Meat Products"
"SIC_0D2011","0D2011","SIC 2011 Meat packing plants"
"SIC_0D2013","0D2013","SIC 2013 Sausages and other prepared meats"
"SIC_0D2015","0D2015","SIC 2015 Poultry slaughtering and processing"
"SIC_0D2016","0D2016","1972 SIC 2016 Poultry Dressing Plants"
"SIC_0D2017","0D2017","1972 SIC 2017 Poultry and Egg Processing"
"SIC_0D202","0D202","SIC 202 Dairy Products"
"SIC_0D2021","0D2021","SIC 2021 Creamery butter"
"SIC_0D2022","0D2022","SIC 2022 Cheese, natural and processed"
"SIC_0D2023","0D2023","SIC 2023 Dry, condensed, evaporated products"
"SIC_0D2024","0D2024","SIC 2024 Ice cream and frozen desserts"
"SIC_0D2026","0D2026","SIC 2026 Fluid milk"
"SIC_0D203","0D203","SIC 203 Preserved Fruits and Vegetables"
"SIC_0D2032","0D2032","SIC 2032 Canned specialties"
"SIC_0D2033","0D2033","SIC 2033 Canned fruits and vegetables"
"SIC_0D2034","0D2034","SIC 2034 Dehydrated fruits, vegetables, soups"
"SIC_0D2035","0D2035","SIC 2035 Pickles, sauces, and salad dressings"
"SIC_0D2037","0D2037","SIC 2037 Frozen fruits and vegetables"
"SIC_0D2038","0D2038","SIC 2038 Frozen specialties, nec"
"SIC_0D204","0D204","SIC 204 Grain Mill Products"
"SIC_0D2041","0D2041","SIC 2041 Flour and other grain mill products"
"SIC_0D2043","0D2043","SIC 2043 Cereal breakfast foods"
"SIC_0D2044","0D2044","SIC 2044 Rice milling"
"SIC_0D2045","0D2045","SIC 2045 Prepared flour mixes and doughs"
"SIC_0D2046","0D2046","SIC 2046 Wet corn milling"
"SIC_0D2047","0D2047","SIC 2047 Dog and cat food"
"SIC_0D2048","0D2048","SIC 2048 Prepared feeds, nec"
"SIC_0D205","0D205","SIC 205 Bakery Products"
"SIC_0D2051","0D2051","SIC 2051 Bread, cake, and related products"
"SIC_0D2052","0D2052","SIC 2052 Cookies and crackers"
"SIC_0D2053","0D2053","SIC 2053 Frozen bakery products, except bread"
"SIC_0D206","0D206","SIC 206 Sugar and Confectionery Products"
"SIC_0D2061","0D2061","SIC 2061 Raw cane sugar"
"SIC_0D2062","0D2062","SIC 2062 Cane sugar refining"
"SIC_0D2063","0D2063","SIC 2063 Beet sugar"
"SIC_0D2064","0D2064","SIC 2064 Candy & other confectionery products"
"SIC_0D2065","0D2065","1972 SIC 2065 Confectionery Products"
"SIC_0D2066","0D2066","SIC 2066 Chocolate and cocoa products"
"SIC_0D2067","0D2067","SIC 2067 Chewing gum"
"SIC_0D2068","0D2068","SIC 2068 Salted and roasted nuts and seeds"
"SIC_0D207","0D207","SIC 207 Fats and Oils"
"SIC_0D2074","0D2074","SIC 2074 Cottonseed oil mills"
"SIC_0D2075","0D2075","SIC 2075 Soybean oil mills"
"SIC_0D2076","0D2076","SIC 2076 Vegetable oil mills, nec"
"SIC_0D2077","0D2077","SIC 2077 Animal and marine fats and oils"
"SIC_0D2079","0D2079","SIC 2079 Edible fats and oils, nec"
"SIC_0D208","0D208","SIC 208 Beverages"
"SIC_0D2082","0D2082","SIC 2082 Malt beverages"
"SIC_0D2083","0D2083","SIC 2083 Malt"
"SIC_0D2084","0D2084","SIC 2084 Wines, brandy, and brandy spirits"
"SIC_0D2085","0D2085","SIC 2085 Distilled and blended liquors"
"SIC_0D2086","0D2086","SIC 2086 Bottled and canned soft drinks"
"SIC_0D2087","0D2087","SIC 2087 Flavoring extracts and syrups, nec"
"SIC_0D209","0D209","SIC 209 Misc. Food and Kindred Products"
"SIC_0D2091","0D2091","SIC 2091 Canned and cured fish and seafoods"
"SIC_0D2092","0D2092","SIC 2092 Fresh or frozen prepared fish"
"SIC_0D2095","0D2095","SIC 2095 Roasted coffee"
"SIC_0D2096","0D2096","SIC 2096 Potato chips and similar snacks"
"SIC_0D2097","0D2097","SIC 2097 Manufactured ice"
"SIC_0D2098","0D2098","SIC 2098 Macaroni and spaghetti"
"SIC_0D2099","0D2099","SIC 2099 Food preparations, nec"
"SIC_0D21","0D21","SIC 21 Tobacco Products"
"SIC_0D211","0D211","SIC 211 Cigarettes"
"SIC_0D2111","0D2111","SIC 2111 Cigarettes"
"SIC_0D212","0D212","SIC 212 Cigars"
"SIC_0D2121","0D2121","SIC 2121 Cigars"
"SIC_0D213","0D213","SIC 213 Chewing and Smoking Tobacco"
"SIC_0D2131","0D2131","SIC 2131 Chewing and smoking tobacco"
"SIC_0D214","0D214","SIC 214 Tobacco Stemming and Redrying"
"SIC_0D2141","0D2141","SIC 2141 Tobacco stemming and redrying"
"SIC_0D22","0D22","SIC 22 Textile Mill Products"
"SIC_0D221","0D221","SIC 221 Broadwoven Fabric Mills, Cotton"
"SIC_0D2211","0D2211","SIC 2211 Broadwoven fabric mills, cotton"
"SIC_0D222","0D222","SIC 222 Broadwoven Fabric Mills, Manmade"
"SIC_0D2221","0D2221","SIC 2221 Broadwoven fabric mills, manmade"
"SIC_0D223","0D223","SIC 223 Broadwoven Fabric Mills, Wool"
"SIC_0D2231","0D2231","SIC 2231 Broadwoven fabric mills, wool"
"SIC_0D224","0D224","SIC 224 Narrow Fabric Mills"
"SIC_0D2241","0D2241","SIC 2241 Narrow fabric mills"
"SIC_0D225","0D225","SIC 225 Knitting Mills"
"SIC_0D2251","0D2251","SIC 2251 Women''s hosiery, except socks"
"SIC_0D2252","0D2252","SIC 2252 Hosiery, nec"
"SIC_0D2253","0D2253","SIC 2253 Knit outerwear mills"
"SIC_0D2254","0D2254","SIC 2254 Knit underwear mills"
"SIC_0D2257","0D2257","SIC 2257 Weft knit fabric mills"
"SIC_0D2258","0D2258","SIC 2258 Lace & warp knit fabric mills"
"SIC_0D2259","0D2259","SIC 2259 Knitting mills, nec"
"SIC_0D226","0D226","SIC 226 Textile Finishing, Except Wool"
"SIC_0D2261","0D2261","SIC 2261 Finishing plants, cotton"
"SIC_0D2262","0D2262","SIC 2262 Finishing plants, manmade"
"SIC_0D2269","0D2269","SIC 2269 Finishing plants, nec"
"SIC_0D227","0D227","SIC 227 Carpets and Rugs"
"SIC_0D2271","0D2271","1972 SIC 2271 Woven Carpets and Rugs"
"SIC_0D2272","0D2272","1972 SIC 2272 Tufted Carpets and Rugs"
"SIC_0D2273","0D2273","SIC 2273 Carpets and rugs"
"SIC_0D2279","0D2279","1972 SIC 2279 Carpets and Rugs, Nec"
"SIC_0D228","0D228","SIC 228 Yarn and Thread Mills"
"SIC_0D2281","0D2281","SIC 2281 Yarn spinning mills"
"SIC_0D2282","0D2282","SIC 2282 Throwing and winding mills"
"SIC_0D2283","0D2283","1972 SIC 2283 Wool Yarn Mills"
"SIC_0D2284","0D2284","SIC 2284 Thread mills"
"SIC_0D229","0D229","SIC 229 Miscellaneous Textile Goods"
"SIC_0D2291","0D2291","1972 SIC 2291 Felt Goods, Exc. Woven Felts & Hats"
"SIC_0D2292","0D2292","1972 SIC 2292 Lace Goods"
"SIC_0D2293","0D2293","1972 SIC 2293 Paddings and Upholstery Filling"
"SIC_0D2294","0D2294","1972 SIC 2294 Processed Textile Waste"
"SIC_0D2295","0D2295","SIC 2295 Coated fabrics, not rubberized"
"SIC_0D2296","0D2296","SIC 2296 Tire cord and fabrics"
"SIC_0D2297","0D2297","SIC 2297 Nonwoven fabrics"
"SIC_0D2298","0D2298","SIC 2298 Cordage and twine"
"SIC_0D2299","0D2299","SIC 2299 Textile goods, nec"
"SIC_0D23","0D23","SIC 23 Apparel and Other Textile Products"
"SIC_0D231","0D231","SIC 231 Men''s and Boys'' Suits and Coats"
"SIC_0D2311","0D2311","SIC 2311 Men''s and boys'' suits and coats"
"SIC_0D232","0D232","SIC 232 Men''s and Boys'' Furnishings"
"SIC_0D2321","0D2321","SIC 2321 Men''s and boys'' shirts"
"SIC_0D2322","0D2322","SIC 2322 Men''s & boys'' underwear & nightwear"
"SIC_0D2323","0D2323","SIC 2323 Men''s and boys'' neckwear"
"SIC_0D2325","0D2325","SIC 2325 Men''s and boys'' trousers and slacks"
"SIC_0D2326","0D2326","SIC 2326 Men''s and boys'' work clothing"
"SIC_0D2327","0D2327","1972 SIC 2327 Mens and Boys Separate Trousers"
"SIC_0D2328","0D2328","1972 SIC 2328 Mens and Boys Work Clothing"
"SIC_0D2329","0D2329","SIC 2329 Men''s and boys'' clothing, nec"
"SIC_0D233","0D233","SIC 233 Women''s and Misses'' Outerwear"
"SIC_0D2331","0D2331","SIC 2331 Women''s & misses'' blouses & shirts"
"SIC_0D2335","0D2335","SIC 2335 Women''s, junior''s, & misses'' dresses"
"SIC_0D2337","0D2337","SIC 2337 Women''s and misses'' suits and coats"
"SIC_0D2339","0D2339","SIC 2339 Women''s and misses'' outerwear, nec"
"SIC_0D234","0D234","SIC 234 Women''s and Children''s Undergarments"
"SIC_0D2341","0D2341","SIC 2341 Women''s and children''s underwear"
"SIC_0D2342","0D2342","SIC 2342 Bras, girdles, and allied garments"
"SIC_0D235","0D235","SIC 235 Hats, Caps, and Millinery"
"SIC_0D2351","0D2351","1972 SIC 2351 Millinery"
"SIC_0D2352","0D2352","1972 SIC 2352 Hats and Caps, Except Millinery"
"SIC_0D2353","0D2353","SIC 2353 Hats, caps, and millinery"
"SIC_0D236","0D236","SIC 236 Girls'' and Children''s Outerwear"
"SIC_0D2361","0D2361","SIC 2361 Girls'' & children''s dresses, blouses"
"SIC_0D2363","0D2363","1972 SIC 2363 Childrens Coats and Suits"
"SIC_0D2369","0D2369","SIC 2369 Girls'' and children''s outerwear, nec"
"SIC_0D237","0D237","SIC 237 Fur Goods"
"SIC_0D2371","0D2371","SIC 2371 Fur goods"
"SIC_0D238","0D238","SIC 238 Miscellaneous Apparel and Accessories"
"SIC_0D2381","0D2381","SIC 2381 Fabric dress and work gloves"
"SIC_0D2384","0D2384","SIC 2384 Robes and dressing gowns"
"SIC_0D2385","0D2385","SIC 2385 Waterproof outerwear"
"SIC_0D2386","0D2386","SIC 2386 Leather and sheep-lined clothing"
"SIC_0D2387","0D2387","SIC 2387 Apparel belts"
"SIC_0D2389","0D2389","SIC 2389 Apparel and accessories, nec"
"SIC_0D239","0D239","SIC 239 Misc. Fabricated Textile Products"
"SIC_0D2391","0D2391","SIC 2391 Curtains and draperies"
"SIC_0D2392","0D2392","SIC 2392 Housefurnishings, nec"
"SIC_0D2393","0D2393","SIC 2393 Textile bags"
"SIC_0D2394","0D2394","SIC 2394 Canvas and related products"
"SIC_0D2395","0D2395","SIC 2395 Pleating and stitching"
"SIC_0D2396","0D2396","SIC 2396 Automotive and apparel trimmings"
"SIC_0D2397","0D2397","SIC 2397 Schiffli machine embroideries"
"SIC_0D2399","0D2399","SIC 2399 Fabricated textile products, nec"
"SIC_0D24","0D24","SIC 24 Lumber and Wood Products"
"SIC_0D241","0D241","SIC 241 Logging"
"SIC_0D2411","0D2411","SIC 2411 Logging"
"SIC_0D242","0D242","SIC 242 Sawmills and Planing Mills"
"SIC_0D2421","0D2421","SIC 2421 Sawmills and planing mills, general"
"SIC_0D2426","0D2426","SIC 2426 Hardwood dimension & flooring mills"
"SIC_0D2429","0D2429","SIC 2429 Special product sawmills, nec"
"SIC_0D243","0D243","SIC 243 Millwork, Plywood & Structural Members"
"SIC_0D2431","0D2431","SIC 2431 Millwork"
"SIC_0D2434","0D2434","SIC 2434 Wood kitchen cabinets"
"SIC_0D2435","0D2435","SIC 2435 Hardwood veneer and plywood"
"SIC_0D2436","0D2436","SIC 2436 Softwood veneer and plywood"
"SIC_0D2439","0D2439","SIC 2439 Structural wood members, nec"
"SIC_0D244","0D244","SIC 244 Wood Containers"
"SIC_0D2441","0D2441","SIC 2441 Nailed wood boxes and shook"
"SIC_0D2448","0D2448","SIC 2448 Wood pallets and skids"
"SIC_0D2449","0D2449","SIC 2449 Wood containers, nec"
"SIC_0D245","0D245","SIC 245 Wood Buildings and Mobile Homes"
"SIC_0D2451","0D2451","SIC 2451 Mobile homes"
"SIC_0D2452","0D2452","SIC 2452 Prefabricated wood buildings"
"SIC_0D249","0D249","SIC 249 Miscellaneous Wood Products"
"SIC_0D2491","0D2491","SIC 2491 Wood preserving"
"SIC_0D2492","0D2492","1972 SIC 2492 Particleboard"
"SIC_0D2493","0D2493","SIC 2493 Reconstituted wood products"
"SIC_0D2499","0D2499","SIC 2499 Wood products, nec"
"SIC_0D25","0D25","SIC 25 Furniture and Fixtures"
"SIC_0D251","0D251","SIC 251 Household Furniture"
"SIC_0D2511","0D2511","SIC 2511 Wood household furniture"
"SIC_0D2512","0D2512","SIC 2512 Upholstered household furniture"
"SIC_0D2514","0D2514","SIC 2514 Metal household furniture"
"SIC_0D2515","0D2515","SIC 2515 Mattresses and bedsprings"
"SIC_0D2517","0D2517","SIC 2517 Wood TV and radio cabinets"
"SIC_0D2519","0D2519","SIC 2519 Household furniture, nec"
"SIC_0D252","0D252","SIC 252 Office Furniture"
"SIC_0D2521","0D2521","SIC 2521 Wood office furniture"
"SIC_0D2522","0D2522","SIC 2522 Office furniture, except wood"
"SIC_0D253","0D253","SIC 253 Public Building & Related Furniture"
